schema_context,column,check,check_number,failure_case,index
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1904
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1903
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1902
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1901
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1900
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1899
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1898
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1897
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1896
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1895
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1894
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1893
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1892
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1891
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1890
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1889
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1888
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1887
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1886
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1885
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1910
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1911
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1912
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1926
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1937
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1936
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1935
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1934
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1933
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1932
